Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Finland,2.72253E+13,2.59102E+13,2.67322E+13,2.64341E+13,2.61335E+13,2.66302E+13,2.56318E+13,2.75119E+13,2.618E+13,2.41325E+13,2.42068E+13,2.57091E+13,2.52837E+13,2.7473E+13,2.7719E+13,2.74339E+13,2.77717E+13,2.79159E+13,2.77832E+13,2.90931E+13,2.68682E+13,2.69918E+13,2.85753E+13
France,2.79817E+14,2.62903E+14,2.82396E+14,2.4691E+14,2.79325E+14,2.64907E+14,2.56715E+14,2.54765E+14,2.74735E+14,2.79932E+14,2.69109E+14,2.67636E+14,2.70623E+14,2.68242E+14,2.8359E+14,2.82292E+14,2.44886E+14,2.80037E+14,2.56606E+14,2.68827E+14,2.34389E+14,2.58904E+14,2.37348E+14
French Guiana,1.33941E+11,1.64431E+11,1.42444E+11,1.5127E+11,1.60624E+11,1.51181E+11,1.49873E+11,62695000000,70179285714,76876428571,74167500000,76911071429,79006785714,79615714286,82525000000,91906071429,75811071429,84351785714,81879642857,83011785714,84167142857,85376785714,86611071429
Gabon,1.77345E+12,1.76238E+12,1.80231E+12,2.10189E+12,1.95876E+12,2.1877E+12,2.29174E+12,2.27166E+12,2.26146E+12,1.992E+12,1.76766E+12,1.70501E+12,1.80233E+12,1.91239E+12,2.0023E+12,1.93948E+12,1.94591E+12,2.06461E+12,1.97578E+12,2.01687E+12,2.29742E+12,2.31284E+12,2.30619E+12
Georgia,3.67524E+12,4.29833E+12,4.31583E+12,4.72049E+12,4.49345E+12,4.79926E+12,3.49473E+12,3.83963E+12,3.79638E+12,3.6102E+12,3.26735E+12,3.79844E+12,3.7225E+12,4.24711E+12,4.12532E+12,3.49707E+12,3.63119E+12,3.2848E+12,3.51338E+12,3.46129E+12,3.62023E+12,3.6946E+12,3.53971E+12
Germany,1.94714E+14,2.00915E+14,1.87065E+14,1.767E+14,2.0692E+14,1.96238E+14,1.89025E+14,1.90757E+14,2.05576E+14,2.06316E+14,1.93676E+14,1.90504E+14,1.97091E+14,2.00831E+14,2.13655E+14,2.00512E+14,1.94818E+14,1.98133E+14,1.71755E+14,1.8518E+14,1.85408E+14,1.82717E+14,1.78078E+14
Ghana,2.32667E+13,2.40057E+13,2.78634E+13,2.83063E+13,2.79467E+13,2.91733E+13,3.00223E+13,2.89198E+13,3.3407E+13,3.63131E+13,3.85586E+13,3.84711E+13,4.03477E+13,4.0673E+13,4.2004E+13,4.24175E+13,4.30127E+13,4.56803E+13,4.92082E+13,5.33721E+13,5.54828E+13,5.73825E+13,5.96602E+13
Greece,2.97536E+13,2.97474E+13,2.92432E+13,2.86467E+13,2.91748E+13,2.95118E+13,2.79734E+13,2.71397E+13,2.91854E+13,2.88371E+13,2.76228E+13,2.77237E+13,2.75737E+13,2.80183E+13,2.58505E+13,2.61285E+13,2.50902E+13,2.50637E+13,2.28418E+13,2.18706E+13,2.2033E+13,2.33682E+13,1.77073E+13
Grenada,41888632319,42306533270,43085328580,43137847417,41508697013,38102239985,43885338560,43980981093,43227889596,42582580837,44398784199,46172105852,46837557254,48123690715,49434827754,51234743210,50851498349,48923349497,48105470353,44954418551,42184793128,43891342159,41832793977
Guadeloupe,6.08973E+11,5.30281E+11,6.24599E+11,5.86092E+11,6.51083E+11,6.28289E+11,5.67448E+11,5395357143,5365357143,5413928571,5365714286,5361785714,5361785714,5381071429,5363571429,5377500000,5386428571,5357142857,5357142857,5357142857,5357142857,5357142857,5357142857
Guatemala,2.23656E+13,2.38353E+13,2.47683E+13,2.43938E+13,2.60996E+13,2.60711E+13,2.66829E+13,2.89774E+13,2.96002E+13,3.12175E+13,3.18097E+13,3.18623E+13,3.39986E+13,3.59563E+13,3.93046E+13,4.08796E+13,4.13255E+13,3.93181E+13,4.05396E+13,4.08342E+13,4.10553E+13,4.13864E+13,4.12157E+13
Guinea,1.4395E+13,1.45588E+13,1.51533E+13,1.57797E+13,1.64415E+13,1.71142E+13,1.77453E+13,1.84468E+13,1.90982E+13,1.92619E+13,2.03412E+13,2.10867E+13,2.20377E+13,2.29101E+13,2.3479E+13,2.44348E+13,2.53026E+13,2.64266E+13,2.74544E+13,2.81187E+13,2.92636E+13,3.03358E+13,3.15612E+13
Guinea-Bissau,2.19144E+12,2.18462E+12,2.18041E+12,2.18844E+12,2.25714E+12,2.4106E+12,2.48736E+12,2.4724E+12,2.64881E+12,2.68303E+12,2.81969E+12,2.78576E+12,2.88782E+12,2.97006E+12,2.83189E+12,2.96109E+12,3.03531E+12,3.05747E+12,3.12494E+12,3.20281E+12,3.25469E+12,3.33634E+12,3.41937E+12
Guyana,3.27863E+12,3.62385E+12,3.74467E+12,3.8844E+12,3.97848E+12,3.37482E+12,3.53616E+12,3.54215E+12,3.46155E+12,3.60663E+12,3.63381E+12,4.01083E+12,3.83779E+12,4.22992E+12,4.86629E+12,5.15011E+12,4.20452E+12,4.40437E+12,4.10692E+12,4.28599E+12,4.37257E+12,3.82371E+12,3.94325E+12
Haiti,7.6601E+12,7.58406E+12,7.53336E+12,7.5971E+12,7.79096E+12,7.91191E+12,7.90402E+12,8.28562E+12,8.0736E+12,8.57848E+12,8.84325E+12,8.96745E+12,8.7238E+12,9.1813E+12,9.25972E+12,8.9754E+12,9.03414E+12,8.99941E+12,8.71856E+12,8.4772E+12,8.13955E+12,8.41232E+12,8.35832E+12
Honduras,1.18373E+13,1.20583E+13,1.30081E+13,1.45823E+13,1.48835E+13,1.54286E+13,1.52091E+13,1.57017E+13,1.54796E+13,1.60965E+13,1.51321E+13,1.53754E+13,1.57698E+13,1.58724E+13,1.56063E+13,1.59363E+13,1.62218E+13,1.65311E+13,1.67917E+13,1.63711E+13,1.62799E+13,1.59616E+13,1.63952E+13
Hong Kong,6.71717E+11,6.49862E+11,6.20922E+11,6.09614E+11,4.7516E+11,4.83919E+11,4.48001E+11,4.5904E+11,4.2355E+11,4.38738E+11,4.19763E+11,3.84774E+11,3.95022E+11,3.97125E+11,3.91814E+11,4.13001E+11,3.9766E+11,3.94016E+11,4.00553E+11,3.97459E+11,4.00848E+11,3.72138E+11,3.84478E+11
Hungary,3.82231E+13,5.51096E+13,4.4533E+13,3.56014E+13,6.27808E+13,6.03511E+13,5.4972E+13,3.91863E+13,6.25897E+13,5.16697E+13,4.64458E+13,5.23561E+13,4.13572E+13,5.25388E+13,6.29551E+13,5.44861E+13,6.43666E+13,5.6545E+13,5.53767E+13,5.69948E+13,5.62619E+13,5.13569E+13,3.39423E+13
Iceland,6.01063E+11,5.95142E+11,5.88898E+11,5.90895E+11,5.79938E+11,5.85617E+11,5.96515E+11,6.14706E+11,6.18829E+11,6.22838E+11,6.25517E+11,6.34872E+11,6.331E+11,6.13495E+11,6.31235E+11,6.52627E+11,6.63042E+11,6.5588E+11,6.44271E+11,6.41424E+11,6.11838E+11,5.97236E+11,5.87174E+11
